"time","wheel.vT","wheel.wR","wheel.den","wheel.contactPoint_a.slip"
7.3,-101.78349653312868,2.1308910964065942e-13,101.78349653312868,1
7.32,-103.74549653312869,1.7577712984418463e-13,103.74549653312869,1
7.34,-105.70749653312862,1.4025290208098027e-13,105.70749653312862,1
7.36,-107.66949653312861,1.078553708854153e-13,107.66949653312861,1
7.38,-109.63149653312855,8.005570948392307e-14,109.63149653312855,1
7.4,-111.59349653312859,5.4829882113296526e-14,111.59349653312859,1
7.42,-113.55549653312852,3.217788877353794e-14,113.55549653312852,1
7.44,-115.51749653312855,1.2099729464645282e-14,115.51749653312855,1
7.46,-117.4794965331285,-5.4045958133796555e-15,117.4794965331285,1
7.48,-119.44149653312853,-2.0335087060538447e-14,119.44149653312853,1
7.5,-121.40349653312848,-3.2691744276829744e-14,121.40349653312848,1
7.52,-123.36549653312844,-4.247456746225425e-14,123.36549653312844,1
7.54,-125.32749653312847,-4.968355661681227e-14,125.32749653312847,1
7.56,-127.28949653312843,-5.4318711740503165e-14,127.28949653312843,1
7.58,-129.2514965331285,-5.638003283332732e-14,129.2514965331285,1
7.6,-131.21349653312842,-5.5867519895284544e-14,131.21349653312842,1
7.62,-133.17549653312847,-5.278117292637483e-14,133.17549653312847,1
7.64,-135.13749653312843,-4.71209919265984e-14,135.13749653312843,1
7.66,-137.0994965331285,-3.8886976895954794e-14,137.0994965331285,1
7.68,-139.06149653312843,-2.807912783444474e-14,139.06149653312843,1
7.7,-141.0234965331285,-1.4697444742067257e-14,141.0234965331285,1
7.72,-142.9854965331284,-1.4391353944050594e-14,142.9854965331284,1
7.74,-144.94749653312846,-1.8960425720596468e-14,144.94749653312846,1
7.76,-146.9094965331284,-2.3252572067881616e-14,146.9094965331284,1
7.78,-148.87149653312844,-2.7267792985906426e-14,148.87149653312844,1
7.8,-150.83349653312837,-3.1006088474670534e-14,150.83349653312837,1
7.82,-152.79549653312841,-3.446745853417428e-14,152.79549653312841,1
7.84,-154.75749653312837,-3.7651903164417344e-14,154.75749653312837,1
7.86,-156.71949653312842,-4.055942236540002e-14,156.71949653312842,1
7.88,-158.68149653312838,-4.319001613712205e-14,158.68149653312838,1
7.9,-160.64349653312843,-4.5543684479583665e-14,160.64349653312843,1
7.92,-162.60549653312836,-4.762042739278466e-14,162.60549653312836,1
7.94,-164.5674965331284,-4.94202448767252e-14,164.5674965331284,1
7.96,-166.52949653312837,-5.094313693140514e-14,166.52949653312837,1
7.98,-168.4914965331284,-5.2189103556824627e-14,168.4914965331284,1
8,-170.45349653312837,-5.315814475298353e-14,170.45349653312837,1
8.02,-172.41549653312833,-5.3850260519881913e-14,172.41549653312833,1
8.04,-174.3774965331283,-5.426545085751979e-14,174.3774965331283,1
8.06,-176.3394965331284,-5.440371576589715e-14,176.3394965331284,1
8.08,-178.30149653312836,-5.426505524501398e-14,178.30149653312836,1
8.1,-180.26349653312832,-5.384946929487029e-14,180.26349653312832,1
8.12,-182.22549653312828,-5.315695791546609e-14,182.22549653312828,1
8.14,-184.1874965331284,-5.2187521106801266e-14,184.1874965331284,1
8.16,-186.14949653312834,-5.0941158868876015e-14,186.14949653312834,1
8.18,-188.1114965331283,-4.9417871201690236e-14,188.1114965331283,1
8.2,-190.07349653312826,-4.7617658105243955e-14,190.07349653312826,1
8.22,-192.0354965331284,-4.554051957953695e-14,192.0354965331284,1
8.24,-193.99749653312836,-4.318645562456962e-14,193.99749653312836,1
8.26,-195.9594965331283,-4.055546624034176e-14,195.9594965331283,1
8.28,-197.92149653312825,-3.764755142685339e-14,197.92149653312825,1
8.3,-199.88349653312838,-3.4462711184104216e-14,199.88349653312838,1
8.32,-201.84549653312834,-3.1000945512094794e-14,201.84549653312834,1
